name,layer_type,batch_input_shape,batch_output_shape,connected_to,params,filters,kernel_size,activation,padding,strides,pool_size,units,dtype,trainable,rate,seed,use_bias,axis,depthwise_regularizer,moving_mean_initializer,bias_regularizer,moving_variance_initializer,depthwise_constraint,gamma_constraint,bias_initializer,target_shape,beta_regularizer,activity_regularizer,momentum,gamma_initializer,kernel_initializer,kernel_constraint,max_value,depthwise_initializer,epsilon,beta_initializer,scale,beta_constraint,center,noise_shape,depth_multiplier,data_format,bias_constraint,dilation_rate,kernel_regularizer,sparse,gamma_regularizer
input_1,InputLayer,"(None, 224, 224, 3)","(None, 224, 224, 3)",,0,,,,,,,,float32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
conv1_pad,ZeroPadding2D,"(None, 224, 224, 3)","(None, 225, 225, 3)",input_1,0,,,,"((0, 1), (0, 1))",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,channels_last,,,,,
conv1,Conv2D,"(None, 225, 225, 3)","(None, 112, 112, 32)",conv1_pad,864,32,"(3, 3)",linear,valid,"(2, 2)",,,,True,,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,,,,channels_last,,"(1, 1)",,,
conv1_bn,BatchNormalization,"(None, 112, 112, 32)","(None, 112, 112, 32)",conv1,128,,,,,,,,,True,,,,-1,,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,,,0.001,"{'class_name': 'Zeros', 'config': {}}",True,,True,,,,,,,,
conv1_relu,ReLU,"(None, 112, 112, 32)","(None, 112, 112, 32)",conv1_bn,0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
conv_dw_1,DepthwiseConv2D,"(None, 112, 112, 32)","(None, 112, 112, 32)",conv1_relu,288,,"(3, 3)",linear,same,"(1, 1)",,,,True,,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,1,channels_last,,"(1, 1)",,,
conv_dw_1_bn,BatchNormalization,"(None, 112, 112, 32)","(None, 112, 112, 32)",conv_dw_1,128,,,,,,,,,True,,,,-1,,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,,,0.001,"{'class_name': 'Zeros', 'config': {}}",True,,True,,,,,,,,
conv_dw_1_relu,ReLU,"(None, 112, 112, 32)","(None, 112, 112, 32)",conv_dw_1_bn,0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
conv_pw_1,Conv2D,"(None, 112, 112, 32)","(None, 112, 112, 64)",conv_dw_1_relu,2048,64,"(1, 1)",linear,same,"(1, 1)",,,,True,,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,,,,channels_last,,"(1, 1)",,,
conv_pw_1_bn,BatchNormalization,"(None, 112, 112, 64)","(None, 112, 112, 64)",conv_pw_1,256,,,,,,,,,True,,,,-1,,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,,,0.001,"{'class_name': 'Zeros', 'config': {}}",True,,True,,,,,,,,
conv_pw_1_relu,ReLU,"(None, 112, 112, 64)","(None, 112, 112, 64)",conv_pw_1_bn,0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
conv_pad_2,ZeroPadding2D,"(None, 112, 112, 64)","(None, 113, 113, 64)",conv_pw_1_relu,0,,,,"((0, 1), (0, 1))",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,channels_last,,,,,
