name,layer_type,batch_input_shape,batch_output_shape,connected_to,params,filters,kernel_size,activation,padding,strides,pool_size,units,dtype,trainable,use_bias,bias_regularizer,bias_initializer,kernel_initializer,kernel_constraint,activity_regularizer,bias_constraint,data_format,dilation_rate,kernel_regularizer,sparse
input_2,InputLayer,"(None, 224, 224, 3)","(None, 224, 224, 3)",,0,,,,,,,,float32,,,,,,,,,,,,False
block1_conv1,Conv2D,"(None, 224, 224, 3)","(None, 224, 224, 64)",input_2,1792,64,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
block1_conv2,Conv2D,"(None, 224, 224, 64)","(None, 224, 224, 64)",block1_conv1,36928,64,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
block1_pool,MaxPooling2D,"(None, 224, 224, 64)","(None, 112, 112, 64)",block1_conv2,0,,,,valid,"(2, 2)","(2, 2)",,,True,,,,,,,,channels_last,,,
block2_conv1,Conv2D,"(None, 112, 112, 64)","(None, 112, 112, 128)",block1_pool,73856,128,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
block2_conv2,Conv2D,"(None, 112, 112, 128)","(None, 112, 112, 128)",block2_conv1,147584,128,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
block2_pool,MaxPooling2D,"(None, 112, 112, 128)","(None, 56, 56, 128)",block2_conv2,0,,,,valid,"(2, 2)","(2, 2)",,,True,,,,,,,,channels_last,,,
block3_conv1,Conv2D,"(None, 56, 56, 128)","(None, 56, 56, 256)",block2_pool,295168,256,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
block3_conv2,Conv2D,"(None, 56, 56, 256)","(None, 56, 56, 256)",block3_conv1,590080,256,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
block3_conv3,Conv2D,"(None, 56, 56, 256)","(None, 56, 56, 256)",block3_conv2,590080,256,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
block3_conv4,Conv2D,"(None, 56, 56, 256)","(None, 56, 56, 256)",block3_conv3,590080,256,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
block3_pool,MaxPooling2D,"(None, 56, 56, 256)","(None, 28, 28, 256)",block3_conv4,0,,,,valid,"(2, 2)","(2, 2)",,,True,,,,,,,,channels_last,,,
